text,label,split
Advise if locally obtained Yucatan Honey (sample enclosed) is an acceptable substitute for HALWAY.,answer,train
R & D COMMENTS:,question,train
Target the P A 29Mar 84,answer,train
a) Nature of work should be specified in exact terms.,answer,train
b) R & D should advise if completion date cannot be met.,answer,train
c) Two copies of this form to be sent to R & D by initiator and R & D is to return to T. O. one completed copy.,answer,train
MH/ enm,other,train
0036/ (r) # 2894M,other,train
APR 2 1984 P. H. H.,answer,train
SUBJECT:,question,train
SAMPLE:,question,train
CIGARETTES:,question,train
TAR,question,train
9.1,answer,train
NIC,question,train
.88,answer,train
MOIST,question,train
14.0,answer,train
MENT,question,train
.841,answer,train
PREFERENCE:,question,train
Bright,question,train
39,answer,train
34,answer,train
43,answer,train
35,answer,train
42,answer,train
8,answer,train
9,answer,train
11,answer,train
6,answer,train
8,answer,train
200,answer,train
100,answer,train
100,answer,train
100,answer,train
100,answer,train
ATTRIBUTES:,question,train
53+++,answer,train
60+++,answer,train
46,answer,train
56+++,answer,train
50,answer,train
(n=),other,train
Total,header,train
Male,question,train
Female,header,train
35+,header,train
KL,question,train
Bright,question,train
KL,answer,train
Bright,question,train
KL,question,train
Bright,question,train
KL,question,train
Bright,question,train
KL,question,train
Bright,question,train
4.51,answer,train
4.45,answer,train
4.09**,answer,train
4.59,answer,train
4.31***,answer,train
3.60**,answer,train
3.64***,answer,train
3.39***,answer,train
3.12***,answer,train
3.56***,answer,train
4.00,answer,train
3.42,answer,train
3.73**,answer,train
3.58***,answer,train
4.94,answer,train
3.04,answer,train
3.46***,answer,train
3.28***,answer,train
2.78,answer,train
3.24,answer,train
3.96,answer,train
4.02,answer,train
3.69***,answer,train
3.02,answer,train
2.78,answer,train
3.21,answer,train
3.95,answer,train
3.99,answer,train
3.44,answer,train
2.97*,answer,train
3.33**,answer,train
3.70***,answer,train
3.47,answer,train
3.43,answer,train
4.85,answer,train
4.71,answer,train
3.41,answer,train
5.02,answer,train
3.06,answer,train
2.78,answer,train
3.26,answer,train
3.96,answer,train
4.35**,answer,train
3.61*,answer,train
3.63***,answer,train
3.45***,answer,train
3.17***,answer,train
3.52***,answer,train
4.07**,answer,train
4.74,answer,train
3.38,answer,train
5.31,answer,train
2.99,answer,train
2.74,answer,train
3.07,answer,train
3.92,answer,train
4.27,answer,train
3.58,answer,train
3.65***,answer,train
2.34**,answer,train
3.08**,answer,train
3.60*,answer,train
3.94,answer,train
4.45,answer,train
3.46,answer,train
4.61,answer,train
2.08,answer,train
2.82,answer,train
3.39,answer,train
3.99,answer,train
620915734,other,train
+/-/*,other,train
++/--/**,other,train
+++/---/***,other,train
Attribute,other,train
scores,other,train
reflectia,other,train
a,other,train
comparison,other,train
of,other,train
the,other,train
test,other,train
product,other,train
to,other,train
the,other,train
smoker's,other,train
most,other,train
often,other,train
brand,other,train
NOTE,other,train
TOP- LINES MENTHOL PRODUCT TEST,header,train
C273- 82- 7,answer,train
1982 102KL,answer,train
1 of 4,answer,train
PDC #,question,train
PROJECT #,question,train
PAGE #,question,train
KOOL Lights KS vs. Bright KS Product Monitor,answer,train
"408 Menthol Lights / 105 Menthol Ultra, 111 Non- Menthol Lights / 92 Non- Menthol Ultras)",answer,train
"September 13, 1982",answer,train
FIELD DATE:,question,train
# 839 / 869,answer,train
# 369 / 839,other,train
KOOL Lights KS- white tip- ping masked,question,train
.4 4,answer,train
13. 5,answer,train
.55,answer,train
5. 5,answer,train
masked / a certain proportion of the menthol result is pep- perrront oil; R&D is unable to determine the percentage.,other,train
Bright KS white tipping-,question,train
Total Menthol Smokers,other,train
Total (205),question,train
Male (99),question,train
Female (106),question,train
21- 34 (96),question,train
35+ 109,question,train
KOOL Lights,question,train
No Preference,question,train
21- 34,header,train
STRENGTH (7= Stronger),question,train
SMOOTHNESS (7= 5moother,question,train
AMT MENTHOL (7= More),question,train
MENTHOL TASTE (7= Better,question,train
SATISFYING (7= More,question,train
APTERTASTE (7= Pleasant),question,train
EASE OF DRAW 17 Easier,question,train
Directional Difference:,question,train
66 79% confidence Level,answer,train
80- 94% confidence Level,answer,train
95+% confidence Level,answer,train
Marginal Difference:,question,train
Significant Difference:,question,train
B&W,header,train
,other,train
WCC,answer,train
621800455,other,train
Reconstituted Tobacco Leaf Substitutions Export Formulas,other,train
Revision Date:,question,train
Allowable Grade Substitutions for Export CPCL,header,train
Standard Grade Mark,question,train
Allowable Substitutions,question,train
PCFS Flue cured fines,answer,train
PCBS Burley fines,answer,train
MC- 4 Manufacturing fines,answer,train
MC -6 Stem Meal,answer,train
MC -7 Winnowers,answer,train
RXF Fine flue cured stem,answer,train
RBF Fine Burely stem,answer,train
RPCFS or RPCFS-O ,answer,train
RPCBS OT RPCBS- O,answer,train
MC -4 -S,answer,train
MC -4 -PH,answer,train
MC -4 -RC,answer,train
MC -4 -W,answer,train
MC -1,answer,train
C Stem,answer,train
RRXF or RRXF -O,answer,train
RRXM -B,answer,train
RRXM -T,answer,train
RRBF or RRBF -O,answer,train
RRB -B,answer,train
RRB -L,answer,train
RRB -T,answer,train
DATE:,question,train
DEPARTMENT:,question,train
Type,question,train
EQPR,answer,train
B&W,other,train
QUALITY,other,train
Implement:,header,train
Date,question,train
632120763,other,train
QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION,header,train
"Highest Quality. Teamwork, Do Right Things Right The First Time",other,train
RESEARCH & DEVELOPMENT,header,train
Quality Coord Only,header,train
"June 21, 1993",answer,train
R&D Library,answer,train
Carol S. Lincoln,answer,train
407- 64- 3484,answer,train
SUBMITTED BY:,question,train
SUBMITTER'S SS#:,question,train
Date Rec'd,question,train
QIP Log #1,question,train
Status (1993),question,train
Keywords (1993),question,train
6/ 21/ 93,answer,train
93- 0301,answer,train
SUGGESTION: (Describe Current Situation and Idea),question,train
"The current system of managing records is too complex. The trend seems to be increasingly specific, when we should be getting more general. Right now, people must work to understand the system. We must spend too much time adninistering the system, labeling and cleaning our files. Complying is a real burden, both for the individual and for the records coordinators.",answer,train
Describe Possible Solutions And Benefits,question,train
1. Drop the category specifications altogether.,answer,train
2. Use moregeneral categories.,answer,train
hote: I have passed this to Scott Appleton for the task force to use in streamlining the records management program.,answer,train
PROFIT IMPROVEMENT:,question,train
(If Applicable),answer,train
RESPOND HERE,question,train
☐ Yes,question,train
☐ No,question,train
☐ Pending,question,train
Approval Signature/ Date,question,train
Responder/ Date,question,train
Sign & Print Names) (See Instructions On Back),question,train
FAX:,question,train
DATE:,question,train
FROM:,question,train
CHARGEBACK:,question,train
RECIPIENT,question,train
COMPANY,question,train
FAX,question,train
No.,question,train
COMMENTS,question,train
No:,question,train
Name:,question,train
Yes,question,train
Confirmation:,header,train
2074956978,other,train
,other,train
WINSTON & STRAWN,header,train
Fax Cover Sheet,header,train
"MAMI TRIAL SITE, 2000 FIRST UNION FINANCIAL CENTER, 200 SOUTH BISCAYNE BOULEVARD MIAMI, FLORIDA 33131",other,train
(305) 400 6 06,answer,train
200 PARK AVENUE NEWYORK NY 10166 4193 212 294-6700,other,train
400 L. STREET N WASHWINGTON DC 20005 3502 202 371 5700,other,train
35 WEST WACKER CHICAGO. IL 30601 312- 588 5800,other,train
"21 AVENUE VICTOR HUGO 75 PARIS, FRANCE 33- 53 64 62 82",other,train
Fax Number:,question,train
305 400- 6107,answer,train
Kevin Narko,answer,train
10/ 13/ 99,answer,train
4162/ 158,answer,train
Please Deliver as soon Possible To:,header,train
John Mulderig,answer,train
Gregory Little,answer,train
Philip Morris,answer,train
Philip Morris,answer,train
917 -663 -5796,answer,train
917- 663 5979,answer,train
917- 663 3056,answer,train
PHONE No.,question,train
Total number of pages including this page:,question,train
"IF YOU DO NOT RECEIVE ALL THE PAGES, PLEASE CALL OUR FAX OPERATOR AS SOON AS POSSIBLE THANK YOU. 312- 558- 5948",other,train
"The information contained in this facsimile message is attorncy privileged and confidential information intended only for the use of the individual or entity named above. If the reader of this message is not the intended recipient, or the employee or agent responsible to deliver it to the intended recipient, you are hereby notified that any dissemination, distribution or copying this communication strictly prohibited.",other,train
"If you have received this communication in error, please immediately notify us by telephone, and return the original message to us at the above address via the U. S. Postal Service. Thank you.",other,train
Operator Initials:,question,train
Brand,question,train
Title,question,train
Size,question,train
Magazine,question,train
Location,question,train
,question,train
SCORE,question,train
BASE,question,train
SCORE,question,train
BASE,question,train
COMMENTS,question,train
PM6,header,train
OVERALL,question,train
SEX:,header,train
AGE:,header,train
Male,question,train
Female,question,train
214,answer,train
TIME,answer,train
1.0,answer,train
(.97),answer,train
31,answer,train
(167),answer,train
(83),answer,train
(84),answer,train
31,answer,train
31,answer,train
(51),answer,train
(46),answer,train
2.0,answer,train
0.0,answer,train
(81),answer,train
(86),answer,train
33,answer,train
29,answer,train
(42),answer,train
(55),answer,train
2.4,answer,train
0.0,answer,train
4/19/74,answer,train
770205964,other,train
33,answer,train
(42),answer,train
(125),answer,train
30,answer,train
MAGAZINE SCORES AUDIENCE STUDIES,header,train
SALEM (RJR),answer,train
Project #,question,train
Total Sample,question,train
74- 80,answer,train
"""HEAD IN WATER""",answer,train
Code #,question,train
FULL PAGE,answer,train
Field Date,question,train
"WEEK OF MARCH 25, 1974",answer,train
"CHICAGO, DALLAS/ FORT WORTH, INDIANAPOLIS, LOS ANGELES",answer,train
"MEMPHIS, PHILADELPHIA, PITTSBURGH",answer,train
Sample Description,question,train
MALE AND FEMALE MENTHOL SMOKERS,answer,train
PROVED RECALL,header,train
Tested among a half sample of smokers. Sub- group scores subject to wide variation because of small sample size and should be averaged across several ads for meaningful infor- mation.,answer,train
Under 25,question,train
25- 34,question,train
35- 44,question,train
45 & Over,question,train
Under 35,question,train
35 & Over,question,train
BRAND SMOKED:,header,train
Test Brand Smokers,question,train
All Other Smokers,question,train
Date Sent,question,train
PI- 7653,other,train
,other,train
,other,train
SUBJECT:,question,train
SAMPLE:,question,train
CIGARETTES,header,train
PROJECT,question,train
REFERENCE,question,train
ATTRIBUTES,header,train
VICEROY,question,train
Competitive,question,train
54%,answer,train
46%46%,answer,train
47%,answer,train
53%,answer,train
VICEROY,question,train
Competitive,header,train
-13,answer,train
-4,answer,train
-7,answer,train
+7*,answer,train
+14,answer,train
+26*,answer,train
-15*,answer,train
+22,answer,train
+1,answer,train
+5,answer,train
-5,answer,train
+21,answer,train
STRENGTH,question,train
HARSHNESS,question,train
AFTERTASTE,question,train
TOP- LINES NON- MENTHOL PRODUCT TEST,header,train
# 19 4- 26A,answer,train
25% Replacement of Propylene Glycol With SORBITOL,answer,train
250 VICEROY/ 125 Marlboro/ 125 Winston,answer,train
#627/ 647 -,question,train
#647/ #627 -,question,train
Current VICEROY B4,answer,train
Current VICEROY 84 except with 25% of the propylene glycol replaced with SORBITOL.,answer,train
NOTICE IF THE FILM IMAGE IS LESS CLEAR THAN THIS NOTICE. IT IS DUE TO THE QUALITY OF THE DOCUMENT BEING FILMED,other,train
77905 6433,other,train
*Statistically Significant,other,train
(#627/ 647,answer,train
(#647/ 627),answer,train
Current VICEROY 84 25% PG with SORBITOL,answer,train
Current VICEROY 84 (#647/ 647,question,train
25% PG w/ SORBITOL (#647/ 627),question,train
Current VICEROY 84 (#627/ 647),answer,train
25% PG w/ SORBITOL #647/ 627,answer,train
Title,question,train
OVERALL:,question,train
SEX:,header,train
AGE:,header,train
BRAND SMOKER,header,train
Male,question,train
465508326,other,train
Female,question,train
6,answer,train
7,answer,train
(17),answer,train
(205),answer,train
3.1,answer,train
4.2,answer,train
(129),answer,train
(95),answer,train
5,answer,train
9,answer,train
(117),answer,train
(105),answer,train
(63),answer,train
(66),answer,train
(46),answer,train
(49),answer,train
3.2,answer,train
3.0,answer,train
4.4,answer,train
4.0,answer,train
1.9,answer,train
5.0,answer,train
(104),answer,train
(120),answer,train
7,answer,train
7,answer,train
(101),answer,train
(121),answer,train
3.4%,answer,train
(224),answer,train
7%,answer,train
(222),answer,train
BELAIR,answer,train
285,answer,train
%,other,train
%,other,train
SCORE,question,train
BASE,question,train
SCORE,question,train
BASE,question,train
PM6,header,train
COMMENTS,header,train
Brand,question,train
NEWSPAPER SCORES AUDIENCE STUDIES,header,train
""" KALEIDOSCOPE - - GONE WITH THE WIND "" *",answer,train
Project #,question,train
Total Sample,question,train
72- 31,answer,train
Code #,question,train
Type of Ad,question,train
Newspaper (Date),question,train
R/ BSS- 71- 19,answer,train
"PARADE, 1 Page, 4- Color",answer,train
PROVED RECALL,header,train
*This was a combination ad with RALEIGH.,other,train
Under 25,question,train
25- 34,question,train
35- 44,question,train
45 & Over,question,train
Under 35 35 & Over,question,train
Test Brand Smokers,question,train
All Other Smokers,question,train
Pittsburgh Pittsburgh PUTSBURGH PRESS (4 /23 /72,answer,train
San Diego SAN DIEGO UNION (4 /23 /72,answer,train
Dayton DAYTON NEWS (4 /23 /72),answer,train
Birmingham BIRMINGHAM NEWS (4 /23 /72),answer,train
SECRET,other,train
Weights,header,train
Supplier(s),question,train
Color,question,train
Porosity,question,train
Substance,question,train
mm,answer,train
mm,answer,train
mm,answer,train
13%,answer,train
mg,answer,train
mg,answer,train
N/A,answer,train
N/A,answer,train
N/A,answer,train
N/A,answer,train
620753790,other,train
CHAMP S/ L TRIAL SPECIFICATION,header,train
BWIT Suggestion,question,train
HK Trial,question,train
CIGARETTE MAKING,header,train
Physical Characteristics,header,train
Overall Cigarette Length,question,train
Tobacco Rod Length,question,train
Filter Plug Length,question,train
Filter Plug Pressure Drop (unencap.),question,train
Filter Plug Pressure Drop (encap.),question,train
Cigarette Circumference,question,train
Total Pressure Drop (unencap.),question,train
Total Pressure Drop (encap.),question,train
Tipping Length,question,train
Print Position (from filter end),question,train
Moisture content (Packing),question,train
Filter Ventilation Rate,question,train
Total Cigarette Weight,question,train
Net Net Tobacco,question,train
Tobacco Rod Density,question,train
Tipping and Tipping Application,header,train
Tipping Paper:,header,train
Supplier Code No(s).,question,train
Perforation Type & No. of lines,question,train
Print Description,question,train
Bobbin Width,question,train
Dobbin Length,question,train
ECUSTA/ B&W,answer,train
ECUSTA/ B & W,answer,train
Non Porous,answer,train
64 mm,answer,train
2500 M,answer,train
36 nm/ M2,answer,train
Non Porous,answer,train
64 mm,answer,train
2500 M,answer,train
36 nm /47M2,answer,train
243.6 mg/ cc,answer,train
243.6 mg/ ,answer,train
858 mg,answer,train
858 mg,answer,train
35 mm,answer,train
32 mm,answer,train
32 mm,answer,train
35 mm,answer,train
13 %,answer,train
24.8 mm,answer,train
58.5 mm,answer,train
24.8 mm,answer,train
58.5 mm,answer,train
62 mm,answer,train
27 mm,answer,train
72 mm,answer,train
99 mm,answer,train
99 mm,answer,train
72 mm,answer,train
27 mm,answer,train
Date:,question,train
Description:,question,train
Budgeted:,header,train
Yes,question,train
Yes,question,train
No,question,train
No,question,train
x,answer,train
x,answer,train
23.3,answer,train
Supplier,question,train
Cost,question,train
($),question,train
Est.,question,train
Travel,other,train
Kapuler,answer,train
PROJECTED:,header,train
Date,question,train
Date,question,train
Date,question,train
Date,question,train
Date,question,train
cc:,question,train
1990,other,train
"370,000.00",answer,train
"199,900.00",answer,train
"-35,675,00",answer,train
-O-,answer,train
"164,225.00",answer,train
"205,775.00",answer,train
Product,answer,train
Test,answer,train
400,answer,train
Kapuler,answer,train
,answer,train
Howard,answer,train
,other,train
,other,train
BARCLAY,answer,train
670801704,other,train
6,answer,train
No.,question,train
MARKETING RESEARCH AUTHORIZATION,header,train
(Recommended Proposal Attached),other,train
Y- 1 Ultra 100' s vs. Winston Ultra 100' s,answer,train
W. T. Carpenter,answer,train
Requested By:,question,train
Research Request Attached:,header,train
Original Budgeted Amount,question,train
Competitive Proposals Obtained:,header,train
Market Facts,answer,train
"$ 33,675 + 10% Est.",answer,train
"$ 35,000 + 10 % Est.",answer,train
Total Cost,question,train
Cost Per Interview,question,train
"$ 35,675",answer,train
$ 37000,answer,train
$ 2000,answer,train
$ 2000,answer,train
$ 84.2,answer,train
$ 87.5,answer,train
Internal Init. Date,question,train
4/ ,answer,train
12/ 90,answer,train
Ext. Auth. Date Wave (s),question,train
Field Complete Wave (s),question,train
6/ 10/ 90,answer,train
Final Report Due (Supplier Rpt.) Wave (s),question,train
7/ 9/ 90,answer,train
Summary of MRD Budget,header,train
Total Area Budget:,question,train
Current Bal. Available:,question,train
This Change: (From Current Budget,question,train
This Amount,question,train
(From Next Year's Budget,question,train
New Balance,question,train
Commited to Date: (Current Year),question,train
Project Type,question,train
"(Product Test, A&U, etc.)",question,train
Sample Size,question,train
Recommended Supplier,question,train
Reason (s) for Recommendation,question,train
Lowest project costs,answer,train
Submitted by:,question,train
Approved By:,question,train
Approved By:,question,train
Approved By:,question,train
Budget Check:,question,train
Original -,question,train
MRD00005 (revised 3/ 20) PPs 0425,other,train
,answer,train
L. E. Gravely,answer,train
5/ 2/ 90,answer,train
5/3 90,answer,train
5/ 3/ 90,answer,train
1990- 488,answer,train
Project No.,question,train
Account Name,question,train
Project File,answer,train
S. Willinger (3),answer,train
K. A. Hutchison S. A. Howard,answer,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
(,other,train
),other,train
B(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
(,other,train
),other,train
BROWN & WILLAMSON 1994 COLLECTION PROTOCOPYING VARIANCE FORM,header,train
This form was placed before Bates ID,question,train
6708105266,answer,train
"AT THE TIME OF REPRODUCTION, THE FOLLOWING NOTATTONS WERE MADE:",question,train
DOCUMENT COPIES ARE IN THE SAME SEQUENCE AS THEY APPEARED IN THE ORIGINAL.,other,train
PAGE NUMBER(S) WERE MISSING IN THE ORIGINAL.,question,train
☑ ) POOR QUALITY ORIGINAL. faded,other,train
OVERLAY ITEM COULD NOT BE REMOVED WITHOUT DAMAGE TO THE ORIGINAL.,other,train
NG DOCUMENTS WERE FOUND WITHIN THE ORIGINAL:,question,train
FILE FOLDER,answer,train
REDROPE EXPANDABLE FILE,answer,train
HANGING FILE,answer,train
ENVELOPE,answer,train
OTHER (SPECIFY),answer,train
DOCUMENT COPIES WERE REPRODUCED IN COLOR PERMIT CORRECTION INTERPRETATION,other,train
BATES NUMBER NOT USED.,question,train
OTHER VARIANCE (EXPLAIN).,other,train
COMMENTS,question,train
Brand:,question,train
Commercial:,question,train
Supplier:,question,train
Sample:,question,train
Chicago:,question,train
8/8,answer,train
98,other,train
336,answer,train
(234),answer,train
Overall,question,train
CITY,question,train
Chicago,answer,train
SEX,header,train
AGE,header,train
Male,question,train
Female,question,train
16-25,question,train
26-35,question,train
36-45,question,train
1.7,answer,train
0.0,answer,train
3.3,answer,train
0.0,answer,train
3.3,answer,train
0.0,answer,train
0.0,answer,train
0.0,answer,train
9.3,answer,train
465607116,other,train
0.0,answer,train
5.0,answer,train
P,other,train
MR 1909 (3-69) 100,other,train
BROWN & WILLIAMSON TOBACCO CORPORATION FILTER SCORES,header,train
RALEIGH (BELAIR portion not tested),answer,train
Project #,question,train
1969- 105,answer,train
LAKE- NEW PACK: 40 (with BELAIR Badmin- ton: 20),answer,train
PM6 Base:,question,train
Code #:,question,train
BW- RT- 69-,answer,train
AUDIENCE STUDIES,answer,train
TEST DATES,question,train
L. Angeles,question,train
8/5 and 6,answer,train
PM6 SCORES,question,train
This commercial was tested in color.,answer,train
Los ,answer,train
46 & Over,question,train
35 & Under,question,train
36 & Over,question,train
Retainer,question,train
No.,answer,train
$,answer,train
$,answer,train
$,answer,train
$,answer,train
$,answer,train
Other,question,train
(please,question,train
explain):,question,train
Note:,header,train
RIGL,other,train
22-10-2,other,train
(d),other,train
requires,other,train
disclosure,other,train
in,other,train
a,other,train
dollar,other,train
amount,other,train
of,other,train
the,other,train
compensation,other,train
for,other,train
lobbying,other,train
activity.,other,train
(from),other,train
(to),other,train
,answer,train
,answer,train
REVIEWED:,question,train
ACCEPTED:,question,train
STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS,header,train
Office of the Secretary of State,other,train
James R. Langevin Secretary of State,other,train
Monthly Organization/ Employer Report,header,train
"Room 43 State House Providence, Rhode Island 02903- 1105",other,train
401- 277- 2390,other,train
Due the 1st Monday of the month during the legislative session to report the previous months' activity.,question,train
Reporting Period:,question,train
Month of May,answer,train
Organization/ Employer Name:,question,train
R. J. Reynolds Tobacco,answer,train
Lobbyist Name:,question,train
Peter J. McGinn,answer,train
If any addresses or telephone numbers have changed since the last reporting period please check here and note the change in the space provided at the end of this form.,question,train
Compensation/ Expenditure Information:,header,train
(indicate if attached pages),other,train
Please print name of Employer or Designee,other,train
,other,train
,other,train
FOR OFFICIAL USE,other,train
Please indicate the capacity in which you are executing this document:,question,train
Signature Employer or Designee,question,train
List any changes of address telephone numbers:,other,train
"During this reporting period, have you made any expenditure or incurred any obligation of $ 25.00 or more per occurence to promote or oppose any legislation, including but not limited mailings, meals, print or broadcast advertisements, or gifts (yes or no)",question,train
"yes, please detail. including the names of the persons receiving and in whose behalf such expenditures have been made, the amount, date, place, and reason for the expenditure.",question,train
"If yes, please complete the following.",question,train
Compensation received lobbying:,question,train
Part of salary received for lobbying:,question,train
Amount earned but not received:,question,train
Reimbursements for expenses (please itemize):,question,train
Contractual or agreed fee:,question,train
Have you paid any type of compensation or incurred any obligation for payment to the above named,question,train
lobbyist for lobbying? (yes or no),question,train
☑,answer,train
20,answer,train
620745255,other,train
Signed,question,train
Free,answer,train
DC B38 (8 78),other,train
"BROWN & WILLIAMSON TOBACCO CORPORATION LOUISVILLE, KENTUCKY 40201",header,train
SPECIAL SAMPLE MANUFACTURE,question,train
SHIPMENT ☐,question,train
TRANSFER ☐,question,train
REDUCED TO MATERIAL ☐,question,train
Date of Request,question,train
Account Number,question,train
6/ 25/ 81,answer,train
22 244 00,answer,train
Copies to:,question,train
Factory Cost Dept. Writer Development Center Sue Livesay,answer,train
Sample Disposition,question,train
"Quantity, Cartons of 200 each",question,train
Tax Status Paid or Free,question,train
To Sample Stock,header,train
R & D,question,train
M. R.,question,train
Method of Shipment,question,train
Cigarette Description,question,train
KS 1 mg grooved product using 4. 3/ 37 filter material. Cigarette code 244131,answer,train
Special Instructions & Comments,question,train
Completion Date,question,train
6/ 25/ 81,answer,train
B. D. WINGLER,answer,train
COMPOUND,question,train
SOURCE,question,train
INVESTIGATOR(S),question,train
SIGNATURE(S),question,train
REPORTED,question,train
TESTED,question,train
MALE,question,train
FEMALE,question,train
SOURCE,question,train
Unk.,answer,train
P.O.,question,train
A4,answer,train
12/28/78,answer,train
X,answer,train
Unk.,answer,train
Camm,answer,train
Research,answer,train
☑,answer,train
☑,answer,train
5,answer,train
10,answer,train
10,answer,train
10,answer,train
10,answer,train
1,answer,train
2,answer,train
3,answer,train
4,answer,train
5,answer,train
1800,answer,train
2160,answer,train
2592,answer,train
3732,answer,train
4479,answer,train
CONCLUSION,question,train
00040534,other,train
ACUTE TOXICITY IN MICE,header,train
3-Hydroxy-3-methylbutanoic acid (Tur 13),answer,train
Lorillard - Organic Chemistry,answer,train
LORILLARD NO,question,train
OR39- 23,answer,train
,question,train
DATE RECEIVED,question,train
"5/3/79 10/6/80 , Update",answer,train
H. S. Tong & M. S. Forte',answer,train
,answer,train
B1014- 23,answer,train
NOTEBOOK PAGE,question,train
STRAIN OF MICE,question,train
Swiss- Webster,answer,train
DATE RECEIVED,question,train
AVERAGE WEIGHT RANGE (GM),question,train
ROUTE OF COMPOUND ADMINISTRATION,header,train
☐ I.P.,question,train
☐ I.V.,question,train
☐ INHALATION,question,train
COMPOUND ,header,train
.5 % METHYL CELULOSE,question,train
☐ CORN OIL,question,train
☐ SALINE,question,train
☐ OTHER,question,train
GROUP NO.,question,train
% SOLUTION,question,train
